,mean,median,min,max
0,1.0,1.0,1.0,1.0
1,0.9935557857720102,0.9939365482031546,0.8704958803928033,1.0918610786862737
2,0.9876249911295862,0.9857203273829831,0.8612320741331723,1.1331378463879247
3,0.981155964292916,0.9751807740004554,0.8332398716592255,1.1405935427885725
4,0.9745426134191387,0.9730262657622395,0.8097230232210564,1.1511101430216057
5,0.9706398759693409,0.9592220561767456,0.7571814022197881,1.21000495618479
6,0.9673596251382136,0.9647481764466066,0.7108964057533597,1.2334866644188462
7,0.9685507665575469,0.9612574310617577,0.7665631100414416,1.2546901805893542
8,0.973915761232012,0.9629180766770478,0.7310286028836773,1.316191672532323
9,0.970610990537051,0.9744862209962659,0.7110795129842161,1.3791820826450494
10,0.9623497041427896,0.9597484039473171,0.6923218925237216,1.2851046028105346
11,0.9602638297154238,0.9559008395974926,0.703423719940069,1.2928561460716141
12,0.9591971530119439,0.9518635638255646,0.6741450162753216,1.2930100643776792
13,0.9505977324755429,0.9541734237920597,0.6621707399241945,1.3608960271627397
14,0.9447068611007775,0.9405849393668244,0.6400244488846585,1.331806015782502
15,0.937824516636488,0.9152463431293294,0.6286211266560865,1.4008220451233706
16,0.9335828000742421,0.9086500883806745,0.625637497191963,1.4548917204437832
17,0.9272474365809079,0.912507666985815,0.5986402432497393,1.48960271019806
18,0.9220011018002804,0.9002236112574896,0.5622155196946365,1.5966691659025531
19,0.9172758550559438,0.9068811617934017,0.5666455440063403,1.5729565735562758
20,0.9155466586243699,0.9019873061689889,0.562050866338713,1.5087263302889509
21,0.9071439710124852,0.881008507716996,0.5208817008699655,1.5787735985892544
22,0.905037776354283,0.8843826484159392,0.4727030544069472,1.5796941756138554
23,0.9072797720237099,0.8802181379429332,0.45625587226470327,1.5729947841419853
24,0.9041189393048304,0.89464819786083,0.4621040518095312,1.5406503613612497
25,0.9034000248313834,0.9018023559254911,0.4554327043618083,1.455150230560188
26,0.9009961033531648,0.8887462747827858,0.43851789908854777,1.4528794963971317
27,0.9013718717980627,0.8883719929579846,0.4271473841444154,1.4903650817625218
28,0.8978137770983704,0.8720495134614863,0.4420401596357523,1.4937239688226887
