,symbol,open,high,low,close,volume
2019-05-12,BINANCE:LTCBNB,4.05,4.14,3.62,3.71,37.1181
2019-05-13,BINANCE:LTCBNB,3.72,3.92,3.61,3.84,43.9529
2019-05-14,BINANCE:LTCBNB,3.84,3.93,3.31,3.8,39.8738
2019-05-15,BINANCE:LTCBNB,3.81,3.97,3.57,3.63,39.7692
2019-05-16,BINANCE:LTCBNB,3.63,3.8,3.38,3.48,24.9092
2019-05-17,BINANCE:LTCBNB,3.48,3.51,2.98,3.0,23.7607
2019-05-18,BINANCE:LTCBNB,3.01,3.34,2.98,3.24,34.1544
2019-05-19,BINANCE:LTCBNB,3.25,3.29,3.07,3.11,14.072
2019-05-20,BINANCE:LTCBNB,3.12,3.25,2.78,2.79,37.0958
2019-05-21,BINANCE:LTCBNB,2.8,2.93,2.74,2.84,17.6883
2019-05-22,BINANCE:LTCBNB,2.85,2.9,2.74,2.82,11.2469
2019-05-23,BINANCE:LTCBNB,2.82,3.07,2.74,2.95,44.6403
2019-05-24,BINANCE:LTCBNB,2.95,3.1,2.84,2.92,40.0304
2019-05-25,BINANCE:LTCBNB,2.93,3.36,2.93,3.35,39.8729
2019-05-26,BINANCE:LTCBNB,3.36,3.59,3.16,3.49,48.3262
2019-05-27,BINANCE:LTCBNB,3.49,3.53,3.33,3.47,24.7278
2019-05-28,BINANCE:LTCBNB,3.47,3.55,3.34,3.43,20.5096
2019-05-29,BINANCE:LTCBNB,3.43,3.59,3.22,3.41,37.9485
2019-05-30,BINANCE:LTCBNB,3.41,3.5,3.36,3.49,11.6722
2019-05-31,BINANCE:LTCBNB,3.49,3.54,3.35,3.37,16.6975
2019-06-01,BINANCE:LTCBNB,3.37,3.49,3.36,3.45,8.6317
2019-06-02,BINANCE:LTCBNB,3.45,3.62,3.42,3.44,44.7051
2019-06-03,BINANCE:LTCBNB,3.45,3.51,3.36,3.5,17.0942
2019-06-04,BINANCE:LTCBNB,3.5,3.54,3.33,3.36,12.7244
2019-06-05,BINANCE:LTCBNB,3.35,3.62,3.25,3.58,16.4577
2019-06-06,BINANCE:LTCBNB,3.59,3.9,3.52,3.72,36.2575
2019-06-07,BINANCE:LTCBNB,3.72,3.87,3.6,3.73,21.8615
