,symbol,open,high,low,close,volume
2019-05-12,BINANCE:SYSBTC,7.83e-06,8.14e-06,6.47e-06,6.71e-06,5752.485
2019-05-13,BINANCE:SYSBTC,6.71e-06,7.2e-06,6.28e-06,6.88e-06,6775.71
2019-05-14,BINANCE:SYSBTC,6.88e-06,7.49e-06,6.78e-06,7.4e-06,5925.857
2019-05-15,BINANCE:SYSBTC,7.41e-06,7.84e-06,7.01e-06,7.5e-06,8147.282
2019-05-16,BINANCE:SYSBTC,7.5e-06,8.76e-06,7.4e-06,8.41e-06,11727.344
2019-05-17,BINANCE:SYSBTC,8.42e-06,9.73e-06,8.34e-06,9.24e-06,14447.629
2019-05-18,BINANCE:SYSBTC,9.24e-06,1.097e-05,8.9e-06,8.96e-06,29952.899
2019-05-19,BINANCE:SYSBTC,8.97e-06,9.21e-06,8.51e-06,8.6e-06,7742.752
2019-05-20,BINANCE:SYSBTC,8.6e-06,9.6e-06,8.54e-06,8.93e-06,10976.196
2019-05-21,BINANCE:SYSBTC,8.93e-06,9.89e-06,8.91e-06,9.44e-06,7393.192
2019-05-22,BINANCE:SYSBTC,9.44e-06,1e-05,9e-06,9.28e-06,7628.274
2019-05-23,BINANCE:SYSBTC,9.28e-06,9.34e-06,8.49e-06,8.72e-06,4115.161
2019-05-24,BINANCE:SYSBTC,8.72e-06,8.89e-06,8.58e-06,8.63e-06,1689.31
2019-05-25,BINANCE:SYSBTC,8.62e-06,9.25e-06,7.98e-06,8.19e-06,8439.518
2019-05-26,BINANCE:SYSBTC,8.16e-06,8.17e-06,7.72e-06,8.1e-06,4700.954
2019-05-27,BINANCE:SYSBTC,8.1e-06,8.27e-06,7.69e-06,7.83e-06,5637.833
2019-05-28,BINANCE:SYSBTC,7.83e-06,1.017e-05,7.67e-06,9.23e-06,22281.94
2019-05-29,BINANCE:SYSBTC,9.28e-06,9.29e-06,7.77e-06,8.15e-06,16795.368
2019-05-30,BINANCE:SYSBTC,8.11e-06,8.75e-06,7.93e-06,8.3e-06,9683.64
2019-05-31,BINANCE:SYSBTC,8.31e-06,9.5e-06,8.23e-06,8.71e-06,21166.674
2019-06-01,BINANCE:SYSBTC,8.71e-06,9.22e-06,8.54e-06,8.83e-06,7150.741
2019-06-02,BINANCE:SYSBTC,8.83e-06,9.09e-06,8.33e-06,8.51e-06,7729.956
2019-06-03,BINANCE:SYSBTC,8.5e-06,8.87e-06,8.15e-06,8.25e-06,9260.638
2019-06-04,BINANCE:SYSBTC,8.28e-06,8.49e-06,8.03e-06,8.1e-06,4072.145
2019-06-05,BINANCE:SYSBTC,8.1e-06,8.2e-06,7.78e-06,7.93e-06,4970.696
2019-06-06,BINANCE:SYSBTC,7.92e-06,8.48e-06,7.86e-06,8.27e-06,5826.043
2019-06-07,BINANCE:SYSBTC,8.27e-06,8.65e-06,8.13e-06,8.26e-06,5418.954
2019-06-08,BINANCE:SYSBTC,8.26e-06,8.32e-06,7.9e-06,7.96e-06,2097.485
2019-06-09,BINANCE:SYSBTC,7.96e-06,8.35e-06,7.93e-06,8.22e-06,2539.624
2019-06-10,BINANCE:SYSBTC,8.2e-06,8.39e-06,8.03e-06,8.22e-06,2581.047
2019-06-11,BINANCE:SYSBTC,8.22e-06,8.6e-06,7.98e-06,8.58e-06,9593.045
2019-06-12,BINANCE:SYSBTC,8.55e-06,8.76e-06,7.94e-06,8.02e-06,10607.158
2019-06-13,BINANCE:SYSBTC,7.99e-06,8.17e-06,6.93e-06,7.22e-06,10493.71
2019-06-14,BINANCE:SYSBTC,7.22e-06,7.64e-06,7.03e-06,7.11e-06,4028.505
2019-06-15,BINANCE:SYSBTC,7.1e-06,7.15e-06,6.48e-06,6.7e-06,3945.087
2019-06-16,BINANCE:SYSBTC,6.72e-06,6.73e-06,6.2e-06,6.32e-06,3795.407
2019-06-17,BINANCE:SYSBTC,6.32e-06,8.46e-06,6.23e-06,6.49e-06,90333.014
2019-06-18,BINANCE:SYSBTC,6.47e-06,6.87e-06,6.35e-06,6.39e-06,6183.803
2019-06-19,BINANCE:SYSBTC,6.39e-06,6.46e-06,5.56e-06,5.75e-06,5883.339
2019-06-20,BINANCE:SYSBTC,5.75e-06,5.77e-06,4.93e-06,4.97e-06,5762.555
2019-06-21,BINANCE:SYSBTC,4.94e-06,5.28e-06,4.27e-06,4.83e-06,14167.058
2019-06-22,BINANCE:SYSBTC,4.83e-06,5.15e-06,4.42e-06,4.67e-06,5187.845
2019-06-23,BINANCE:SYSBTC,4.66e-06,4.8e-06,4.43e-06,4.56e-06,3450.731
2019-06-24,BINANCE:SYSBTC,4.54e-06,4.78e-06,4.2e-06,4.22e-06,6809.097
2019-06-25,BINANCE:SYSBTC,4.22e-06,4.6e-06,3.35e-06,3.45e-06,32009.727
2019-06-26,BINANCE:SYSBTC,3.44e-06,4.14e-06,3.34e-06,3.67e-06,11608.949
2019-06-27,BINANCE:SYSBTC,3.68e-06,4.04e-06,3.47e-06,3.77e-06,8222.806
2019-06-28,BINANCE:SYSBTC,3.75e-06,5.23e-06,3.7e-06,4.38e-06,60554.211
2019-06-29,BINANCE:SYSBTC,4.37e-06,4.47e-06,4.05e-06,4.12e-06,12991.519
2019-06-30,BINANCE:SYSBTC,4.13e-06,4.43e-06,4e-06,4.37e-06,9793.156
2019-07-01,BINANCE:SYSBTC,4.36e-06,4.39e-06,3.98e-06,4.14e-06,7811.143
2019-07-02,BINANCE:SYSBTC,4.11e-06,4.38e-06,3.69e-06,3.81e-06,14560.068
2019-07-03,BINANCE:SYSBTC,3.81e-06,3.92e-06,3.65e-06,3.84e-06,5616.36
2019-07-04,BINANCE:SYSBTC,3.84e-06,4e-06,3.75e-06,3.86e-06,3909.964
2019-07-05,BINANCE:SYSBTC,3.86e-06,3.86e-06,3.61e-06,3.76e-06,6509.913
2019-07-06,BINANCE:SYSBTC,3.76e-06,4.1e-06,3.65e-06,3.73e-06,6002.901
2019-07-07,BINANCE:SYSBTC,3.72e-06,3.9e-06,3.45e-06,3.45e-06,8649.45
2019-07-08,BINANCE:SYSBTC,3.47e-06,3.56e-06,3.13e-06,3.2e-06,8616.458
2019-07-09,BINANCE:SYSBTC,3.21e-06,3.22e-06,2.8e-06,2.87e-06,9115.697
2019-07-10,BINANCE:SYSBTC,2.88e-06,2.98e-06,2.71e-06,2.84e-06,7766.115
2019-07-11,BINANCE:SYSBTC,2.84e-06,3.05e-06,2.71e-06,2.97e-06,5119.566
2019-07-12,BINANCE:SYSBTC,2.97e-06,3.03e-06,2.86e-06,2.98e-06,2365.835
2019-07-13,BINANCE:SYSBTC,2.98e-06,3.02e-06,2.84e-06,2.89e-06,1324.429
2019-07-14,BINANCE:SYSBTC,2.88e-06,2.95e-06,2.7e-06,2.84e-06,3735.676
2019-07-15,BINANCE:SYSBTC,2.82e-06,3.03e-06,2.72e-06,2.88e-06,7916.434
2019-07-16,BINANCE:SYSBTC,2.9e-06,3.35e-06,2.88e-06,3e-06,5723.042
2019-07-17,BINANCE:SYSBTC,3e-06,3.3e-06,3e-06,3.1e-06,4923.744
2019-07-18,BINANCE:SYSBTC,3.11e-06,3.24e-06,3.03e-06,3.12e-06,2289.543
2019-07-19,BINANCE:SYSBTC,3.12e-06,3.16e-06,3e-06,3.08e-06,1831.377
2019-07-20,BINANCE:SYSBTC,3.08e-06,3.11e-06,3.02e-06,3.08e-06,1118.709
2019-07-21,BINANCE:SYSBTC,3.07e-06,3.39e-06,3.06e-06,3.13e-06,5536.719
2019-07-22,BINANCE:SYSBTC,3.14e-06,3.35e-06,3.12e-06,3.17e-06,3148.643
2019-07-23,BINANCE:SYSBTC,3.18e-06,3.3e-06,3.11e-06,3.23e-06,1662.661
2019-07-24,BINANCE:SYSBTC,3.24e-06,3.32e-06,3.15e-06,3.19e-06,2524.601
2019-07-25,BINANCE:SYSBTC,3.19e-06,3.48e-06,3.19e-06,3.4e-06,2952.686
2019-07-26,BINANCE:SYSBTC,3.41e-06,4.1e-06,3.38e-06,3.84e-06,43533.754
2019-07-27,BINANCE:SYSBTC,3.85e-06,4.02e-06,3.64e-06,3.8e-06,12495.898
2019-07-28,BINANCE:SYSBTC,3.8e-06,4.23e-06,3.71e-06,4.11e-06,11565.923
2019-07-29,BINANCE:SYSBTC,4.1e-06,4.54e-06,3.95e-06,4.21e-06,37606.902
2019-07-30,BINANCE:SYSBTC,4.21e-06,4.25e-06,3.58e-06,3.64e-06,14992.321
2019-07-31,BINANCE:SYSBTC,3.62e-06,3.67e-06,3.02e-06,3.17e-06,9772.245
2019-08-01,BINANCE:SYSBTC,3.17e-06,3.18e-06,3e-06,3.05e-06,3153.869
2019-08-02,BINANCE:SYSBTC,3.04e-06,3.19e-06,2.92e-06,3.04e-06,3585.465
2019-08-03,BINANCE:SYSBTC,3.04e-06,3.15e-06,2.9e-06,2.91e-06,2079.893
2019-08-04,BINANCE:SYSBTC,2.91e-06,2.93e-06,2.47e-06,2.49e-06,5230.805
2019-08-05,BINANCE:SYSBTC,2.5e-06,2.55e-06,2.33e-06,2.45e-06,7701.137
2019-08-06,BINANCE:SYSBTC,2.45e-06,2.49e-06,2.12e-06,2.18e-06,7623.713
2019-08-07,BINANCE:SYSBTC,2.18e-06,2.25e-06,2.06e-06,2.07e-06,4455.953
2019-08-08,BINANCE:SYSBTC,2.06e-06,2.15e-06,2e-06,2.12e-06,3338.687
2019-08-09,BINANCE:SYSBTC,2.11e-06,2.49e-06,2.09e-06,2.3e-06,10310.303
2019-08-10,BINANCE:SYSBTC,2.3e-06,2.38e-06,2.19e-06,2.24e-06,1978.627
2019-08-11,BINANCE:SYSBTC,2.24e-06,2.37e-06,2.21e-06,2.3e-06,1823.25
2019-08-12,BINANCE:SYSBTC,2.31e-06,2.49e-06,2.26e-06,2.37e-06,5508.259
2019-08-13,BINANCE:SYSBTC,2.38e-06,2.72e-06,2.27e-06,2.32e-06,18675.667
2019-08-14,BINANCE:SYSBTC,2.32e-06,2.32e-06,2.19e-06,2.22e-06,2249.186
2019-08-15,BINANCE:SYSBTC,2.22e-06,3.3e-06,2.19e-06,2.71e-06,42824.197
