,symbol,open,high,low,close,volume
2020-11-23,BINANCE:SYSBUSD,0.07712,0.25,0.07712,0.09161,570.609
2020-11-24,BINANCE:SYSBUSD,0.09161,0.10999,0.06868,0.09326,2070.9807
2020-11-25,BINANCE:SYSBUSD,0.09148,0.0951,0.07002,0.07814,997.2556
2020-11-26,BINANCE:SYSBUSD,0.07813,0.09,0.071,0.08377,647.2344
2020-11-27,BINANCE:SYSBUSD,0.08377,0.1187,0.0817,0.09366,1801.4565
2020-11-28,BINANCE:SYSBUSD,0.093,0.102,0.087,0.09781,775.1805
2020-11-29,BINANCE:SYSBUSD,0.09778,0.1065,0.08144,0.09685,1318.6649
2020-11-30,BINANCE:SYSBUSD,0.09688,0.13826,0.08502,0.08502,1287.6311
2020-12-01,BINANCE:SYSBUSD,0.0853,0.0961,0.07826,0.08026,2636.7141
2020-12-02,BINANCE:SYSBUSD,0.08026,0.086,0.07349,0.07464,2480.9427
2020-12-03,BINANCE:SYSBUSD,0.07464,0.077,0.06598,0.06687,2146.3421
2020-12-04,BINANCE:SYSBUSD,0.06676,0.0768,0.06584,0.07418,1803.3917
2020-12-05,BINANCE:SYSBUSD,0.07415,0.077,0.0683,0.06882,2079.1405
2020-12-06,BINANCE:SYSBUSD,0.06882,0.072,0.068,0.0691,948.9445
2020-12-07,BINANCE:SYSBUSD,0.06909,0.077,0.06125,0.06148,1448.4892
2020-12-08,BINANCE:SYSBUSD,0.06149,0.06362,0.05528,0.06171,1769.3637
2020-12-09,BINANCE:SYSBUSD,0.06176,0.06962,0.05999,0.06017,990.2677
2020-12-10,BINANCE:SYSBUSD,0.06017,0.06017,0.05534,0.05733,1363.8022
2020-12-11,BINANCE:SYSBUSD,0.05725,0.06435,0.05721,0.0618,1627.5519
2020-12-12,BINANCE:SYSBUSD,0.0618,0.06557,0.06127,0.06278,948.0861
2020-12-13,BINANCE:SYSBUSD,0.0626,0.06716,0.06219,0.06567,2303.3345
2020-12-14,BINANCE:SYSBUSD,0.06561,0.073,0.0629,0.06346,1698.1032
2020-12-15,BINANCE:SYSBUSD,0.06346,0.06359,0.05854,0.06198,1950.2057
2020-12-16,BINANCE:SYSBUSD,0.06194,0.06298,0.05572,0.05844,2619.2738
2020-12-17,BINANCE:SYSBUSD,0.05835,0.06869,0.058,0.06099,2346.9496
2020-12-18,BINANCE:SYSBUSD,0.06141,0.0685,0.05964,0.06256,1058.3712
2020-12-19,BINANCE:SYSBUSD,0.06256,0.0668,0.06025,0.06392,1273.7242
2020-12-20,BINANCE:SYSBUSD,0.06312,0.071,0.05964,0.06183,1866.7492
2020-12-21,BINANCE:SYSBUSD,0.06169,0.06317,0.05679,0.06099,1415.979
2020-12-22,BINANCE:SYSBUSD,0.06102,0.06194,0.04642,0.05071,1288.4917
2020-12-23,BINANCE:SYSBUSD,0.0507,0.05997,0.0467,0.05697,1340.4838
2020-12-24,BINANCE:SYSBUSD,0.05789,0.05982,0.05145,0.05289,1541.237
2020-12-25,BINANCE:SYSBUSD,0.05289,0.0556,0.05166,0.05434,1357.6199
2020-12-26,BINANCE:SYSBUSD,0.05448,0.06111,0.05448,0.05907,925.9834
2020-12-27,BINANCE:SYSBUSD,0.05678,0.06398,0.05589,0.06013,1696.9263
2020-12-28,BINANCE:SYSBUSD,0.06006,0.06573,0.05361,0.05823,1967.0156
2020-12-29,BINANCE:SYSBUSD,0.05858,0.069,0.05673,0.05834,1892.8871
2020-12-30,BINANCE:SYSBUSD,0.0605,0.06535,0.05746,0.06058,1931.6049
2020-12-31,BINANCE:SYSBUSD,0.06075,0.0635,0.0599,0.0628,1259.2459
2021-01-01,BINANCE:SYSBUSD,0.06278,0.079,0.062,0.066,2425.3657
2021-01-02,BINANCE:SYSBUSD,0.06586,0.07177,0.0625,0.066,1303.3796
2021-01-03,BINANCE:SYSBUSD,0.066,0.07314,0.059,0.0697,1065.1506
2021-01-04,BINANCE:SYSBUSD,0.07,0.0715,0.06325,0.06888,1590.8398
2021-01-05,BINANCE:SYSBUSD,0.06917,0.07579,0.0671,0.07395,1974.924
2021-01-06,BINANCE:SYSBUSD,0.07444,0.08999,0.07321,0.07811,2203.9937
2021-01-07,BINANCE:SYSBUSD,0.07971,0.08302,0.07292,0.07498,1582.4377
2021-01-08,BINANCE:SYSBUSD,0.07572,0.088,0.07454,0.0821,1611.8397
2021-01-09,BINANCE:SYSBUSD,0.08387,0.08692,0.07045,0.07823,1757.7185
2021-01-10,BINANCE:SYSBUSD,0.07716,0.0854,0.063,0.07527,1387.8842
2021-01-11,BINANCE:SYSBUSD,0.07434,0.08511,0.0711,0.07838,1721.4103
2021-01-12,BINANCE:SYSBUSD,0.07837,0.08043,0.0751,0.07793,1110.8561
2021-01-13,BINANCE:SYSBUSD,0.07849,0.08399,0.07661,0.08368,909.4484
2021-01-14,BINANCE:SYSBUSD,0.08368,0.08636,0.07617,0.08386,1218.8872
2021-01-15,BINANCE:SYSBUSD,0.08388,0.08655,0.07759,0.07897,1594.3559
2021-01-16,BINANCE:SYSBUSD,0.07897,0.09399,0.07567,0.08873,2142.8001
2021-01-17,BINANCE:SYSBUSD,0.08873,0.09596,0.08407,0.0924,1109.7298
2021-01-18,BINANCE:SYSBUSD,0.09298,0.093,0.08336,0.08394,1017.9357
2021-01-19,BINANCE:SYSBUSD,0.08395,0.1,0.08188,0.095,1813.32
2021-01-20,BINANCE:SYSBUSD,0.09404,0.10034,0.08511,0.08515,3415.5455
2021-01-21,BINANCE:SYSBUSD,0.08586,0.09303,0.08,0.08773,2052.325
2021-01-22,BINANCE:SYSBUSD,0.08687,0.098,0.0857,0.096,922.1548
2021-01-23,BINANCE:SYSBUSD,0.09525,0.10079,0.08874,0.09317,863.0834
2021-01-24,BINANCE:SYSBUSD,0.09317,0.105,0.08632,0.08905,1479.3394
2021-01-25,BINANCE:SYSBUSD,0.08905,0.1093,0.08512,0.1068,5396.7243
2021-01-26,BINANCE:SYSBUSD,0.10706,0.1099,0.09362,0.09561,2806.9416
2021-01-27,BINANCE:SYSBUSD,0.09543,0.1007,0.093,0.09547,1325.5295
2021-01-28,BINANCE:SYSBUSD,0.0964,0.09823,0.08984,0.09256,1438.0179
2021-01-29,BINANCE:SYSBUSD,0.09257,0.10787,0.091,0.09449,1215.5223
2021-01-30,BINANCE:SYSBUSD,0.09462,0.111,0.09302,0.10282,1608.5671
2021-01-31,BINANCE:SYSBUSD,0.10287,0.10559,0.098,0.101,631.4292
2021-02-01,BINANCE:SYSBUSD,0.10115,0.10748,0.09851,0.10093,918.4124
2021-02-02,BINANCE:SYSBUSD,0.10099,0.1118,0.09971,0.1072,1428.5603
2021-02-03,BINANCE:SYSBUSD,0.10775,0.11999,0.105,0.11768,2353.1475
2021-02-04,BINANCE:SYSBUSD,0.11767,0.12814,0.11455,0.1225,1540.4882
2021-02-05,BINANCE:SYSBUSD,0.12248,0.12314,0.109,0.11288,1309.5246
2021-02-06,BINANCE:SYSBUSD,0.11254,0.11522,0.10523,0.11087,936.0962
2021-02-07,BINANCE:SYSBUSD,0.11152,0.122,0.10917,0.11764,1311.4079
2021-02-08,BINANCE:SYSBUSD,0.11764,0.1292,0.11494,0.12325,1895.9226
2021-02-09,BINANCE:SYSBUSD,0.12481,0.13365,0.11637,0.13001,2369.6212
2021-02-10,BINANCE:SYSBUSD,0.13001,0.1438,0.13,0.13809,2451.6795
2021-02-11,BINANCE:SYSBUSD,0.13809,0.16867,0.13385,0.16184,3170.4536
2021-02-12,BINANCE:SYSBUSD,0.16272,0.17888,0.15496,0.16726,2666.9994
2021-02-13,BINANCE:SYSBUSD,0.16726,0.1715,0.14288,0.15597,2509.7318
2021-02-14,BINANCE:SYSBUSD,0.1538,0.17,0.134,0.15197,2421.5392
2021-02-15,BINANCE:SYSBUSD,0.15197,0.17026,0.14624,0.15508,1683.2731
2021-02-16,BINANCE:SYSBUSD,0.15507,0.16236,0.14562,0.1539,1371.6773
2021-02-17,BINANCE:SYSBUSD,0.15404,0.19,0.15404,0.17659,4225.8421
2021-02-18,BINANCE:SYSBUSD,0.17659,0.18498,0.171,0.177,2020.8
2021-02-19,BINANCE:SYSBUSD,0.17811,0.20918,0.17102,0.19035,5053.522
2021-02-20,BINANCE:SYSBUSD,0.19035,0.24,0.18494,0.19389,5349.4364
2021-02-21,BINANCE:SYSBUSD,0.19199,0.19874,0.14305,0.16956,3783.2584
2021-02-22,BINANCE:SYSBUSD,0.16916,0.17011,0.11869,0.13765,3401.0671
2021-02-23,BINANCE:SYSBUSD,0.13766,0.15481,0.13151,0.13876,1742.2571
2021-02-24,BINANCE:SYSBUSD,0.14412,0.15897,0.13424,0.137,1504.3617
2021-02-25,BINANCE:SYSBUSD,0.137,0.15646,0.12513,0.14277,2558.1696
2021-02-26,BINANCE:SYSBUSD,0.14277,0.158,0.14136,0.14821,1536.1224
2021-02-27,BINANCE:SYSBUSD,0.14817,0.15389,0.13101,0.152,2169.8669
2021-02-28,BINANCE:SYSBUSD,0.152,0.17297,0.15199,0.15901,3411.9908
2021-03-01,BINANCE:SYSBUSD,0.1586,0.16476,0.14506,0.1478,1497.15
2021-03-02,BINANCE:SYSBUSD,0.15088,0.16569,0.148,0.15629,1775.6853
2021-03-03,BINANCE:SYSBUSD,0.15628,0.17978,0.1471,0.16979,3499.7451
